variant,step,fact_id,condition,layer,flipped,first_flip_layer
step_00050,50,cf_18246,latent,1,False,
step_00050,50,cf_18246,latent,2,False,
step_00050,50,cf_18246,latent,3,False,
step_00050,50,cf_18246,latent,4,False,
step_00050,50,cf_18246,latent,5,False,
step_00050,50,cf_18246,latent,6,False,
step_00050,50,cf_18246,latent,7,False,
step_00050,50,cf_18246,latent,8,False,
step_00050,50,cf_18246,latent,9,False,
step_00050,50,cf_18246,latent,10,False,
step_00050,50,cf_18246,latent,11,False,
step_00050,50,cf_18246,latent,12,False,
step_00050,50,cf_18246,latent,13,False,
step_00050,50,cf_18246,latent,14,False,
step_00050,50,cf_18246,latent,15,False,
step_00050,50,cf_18246,latent,16,False,
step_00050,50,cf_18246,latent,17,False,
step_00050,50,cf_18246,latent,18,False,
step_00050,50,cf_18246,latent,19,True,
step_00050,50,cf_18246,latent,20,True,
step_00050,50,cf_18246,latent,21,False,
step_00050,50,cf_18246,latent,22,False,
step_00050,50,cf_18246,latent,23,False,
step_00050,50,cf_18246,latent,24,False,
step_00050,50,cf_18246,latent,-1,True,19.0
step_00050,50,cf_11916,latent,0,False,
step_00050,50,cf_11916,latent,1,False,
step_00050,50,cf_11916,latent,2,False,
step_00050,50,cf_11916,latent,3,False,
step_00050,50,cf_11916,latent,4,False,
step_00050,50,cf_11916,latent,5,False,
step_00050,50,cf_11916,latent,6,False,
step_00050,50,cf_11916,latent,7,False,
step_00050,50,cf_11916,latent,8,False,
step_00050,50,cf_11916,latent,9,True,
step_00050,50,cf_11916,latent,10,True,
step_00050,50,cf_11916,latent,11,True,
step_00050,50,cf_11916,latent,12,True,
step_00050,50,cf_11916,latent,13,True,
step_00050,50,cf_11916,latent,14,True,
step_00050,50,cf_11916,latent,15,True,
step_00050,50,cf_11916,latent,16,True,
step_00050,50,cf_11916,latent,17,True,
step_00050,50,cf_11916,latent,18,True,
step_00050,50,cf_11916,latent,19,True,
step_00050,50,cf_11916,latent,20,True,
step_00050,50,cf_11916,latent,21,True,
step_00050,50,cf_11916,latent,22,True,
step_00050,50,cf_11916,latent,23,True,
step_00050,50,cf_11916,latent,24,True,
step_00050,50,cf_11916,latent,-1,True,9.0
step_00050,50,cf_13630,latent,0,False,
step_00050,50,cf_13630,latent,1,False,
step_00050,50,cf_13630,latent,2,False,
step_00050,50,cf_13630,latent,3,False,
step_00050,50,cf_13630,latent,4,False,
step_00050,50,cf_13630,latent,5,False,
step_00050,50,cf_13630,latent,6,False,
step_00050,50,cf_13630,latent,7,False,
step_00050,50,cf_13630,latent,8,False,
step_00050,50,cf_13630,latent,9,False,
step_00050,50,cf_13630,latent,10,False,
step_00050,50,cf_13630,latent,11,True,
step_00050,50,cf_13630,latent,12,True,
step_00050,50,cf_13630,latent,13,True,
step_00050,50,cf_13630,latent,14,True,
step_00050,50,cf_13630,latent,15,True,
step_00050,50,cf_13630,latent,16,True,
step_00050,50,cf_13630,latent,17,True,
step_00050,50,cf_13630,latent,18,True,
step_00050,50,cf_13630,latent,19,True,
step_00050,50,cf_13630,latent,20,True,
step_00050,50,cf_13630,latent,21,True,
step_00050,50,cf_13630,latent,22,True,
step_00050,50,cf_13630,latent,23,True,
step_00050,50,cf_13630,latent,24,False,
step_00050,50,cf_13630,latent,-1,True,11.0
step_00050,50,cf_8599,latent,0,False,
step_00050,50,cf_8599,latent,1,False,
step_00050,50,cf_8599,latent,2,False,
step_00050,50,cf_8599,latent,3,False,
step_00050,50,cf_8599,latent,4,False,
step_00050,50,cf_8599,latent,5,False,
step_00050,50,cf_8599,latent,6,False,
step_00050,50,cf_8599,latent,7,False,
step_00050,50,cf_8599,latent,8,False,
step_00050,50,cf_8599,latent,9,False,
step_00050,50,cf_8599,latent,10,False,
step_00050,50,cf_8599,latent,11,False,
step_00050,50,cf_8599,latent,12,True,
step_00050,50,cf_8599,latent,13,True,
step_00050,50,cf_8599,latent,14,True,
step_00050,50,cf_8599,latent,15,True,
step_00050,50,cf_8599,latent,16,True,
step_00050,50,cf_8599,latent,17,True,
step_00050,50,cf_8599,latent,18,True,
step_00050,50,cf_8599,latent,19,True,
step_00050,50,cf_8599,latent,20,True,
step_00050,50,cf_8599,latent,21,True,
step_00050,50,cf_8599,latent,22,True,
step_00050,50,cf_8599,latent,23,True,
step_00050,50,cf_8599,latent,24,True,
step_00050,50,cf_8599,latent,-1,True,12.0
step_00050,50,cf_1724,latent,0,False,
step_00050,50,cf_1724,latent,1,False,
step_00050,50,cf_1724,latent,2,False,
step_00050,50,cf_1724,latent,3,False,
step_00050,50,cf_1724,latent,4,False,
step_00050,50,cf_1724,latent,5,False,
step_00050,50,cf_1724,latent,6,False,
step_00050,50,cf_1724,latent,7,False,
step_00050,50,cf_1724,latent,8,False,
step_00050,50,cf_1724,latent,9,False,
step_00050,50,cf_1724,latent,10,False,
step_00050,50,cf_1724,latent,11,False,
step_00050,50,cf_1724,latent,12,False,
step_00050,50,cf_1724,latent,13,False,
step_00050,50,cf_1724,latent,14,False,
step_00050,50,cf_1724,latent,15,False,
step_00050,50,cf_1724,latent,16,False,
step_00050,50,cf_1724,latent,17,False,
step_00050,50,cf_1724,latent,18,False,
step_00050,50,cf_1724,latent,19,False,
step_00050,50,cf_1724,latent,20,False,
step_00050,50,cf_1724,latent,21,False,
step_00050,50,cf_1724,latent,22,True,
step_00050,50,cf_1724,latent,23,True,
step_00050,50,cf_1724,latent,24,False,
step_00050,50,cf_1724,latent,-1,True,22.0
step_00050,50,cf_9021,latent,0,False,
step_00050,50,cf_9021,latent,1,False,
step_00050,50,cf_9021,latent,2,False,
step_00050,50,cf_9021,latent,3,False,
step_00050,50,cf_9021,latent,4,False,
step_00050,50,cf_9021,latent,5,False,
step_00050,50,cf_9021,latent,6,False,
step_00050,50,cf_9021,latent,7,False,
step_00050,50,cf_9021,latent,8,False,
step_00050,50,cf_9021,latent,9,False,
step_00050,50,cf_9021,latent,10,False,
step_00050,50,cf_9021,latent,11,False,
step_00050,50,cf_9021,latent,12,False,
step_00050,50,cf_9021,latent,13,False,
step_00050,50,cf_9021,latent,14,True,
step_00050,50,cf_9021,latent,15,True,
step_00050,50,cf_9021,latent,16,True,
step_00050,50,cf_9021,latent,17,True,
step_00050,50,cf_9021,latent,18,True,
step_00050,50,cf_9021,latent,19,True,
step_00050,50,cf_9021,latent,20,True,
step_00050,50,cf_9021,latent,21,True,
step_00050,50,cf_9021,latent,22,True,
step_00050,50,cf_9021,latent,23,True,
step_00050,50,cf_9021,latent,24,True,
step_00050,50,cf_9021,latent,-1,True,14.0
step_00050,50,cf_5280,latent,0,False,
step_00050,50,cf_5280,latent,1,True,
step_00050,50,cf_5280,latent,2,True,
step_00050,50,cf_5280,latent,3,True,
step_00050,50,cf_5280,latent,4,True,
step_00050,50,cf_5280,latent,5,True,
step_00050,50,cf_5280,latent,6,True,
step_00050,50,cf_5280,latent,7,True,
step_00050,50,cf_5280,latent,8,True,
step_00050,50,cf_5280,latent,9,True,
step_00050,50,cf_5280,latent,10,True,
step_00050,50,cf_5280,latent,11,True,
step_00050,50,cf_5280,latent,12,True,
step_00050,50,cf_5280,latent,13,True,
step_00050,50,cf_5280,latent,14,True,
step_00050,50,cf_5280,latent,15,True,
step_00050,50,cf_5280,latent,16,True,
step_00050,50,cf_5280,latent,17,True,
step_00050,50,cf_5280,latent,18,True,
step_00050,50,cf_5280,latent,19,True,
step_00050,50,cf_5280,latent,20,True,
step_00050,50,cf_5280,latent,21,True,
step_00050,50,cf_5280,latent,22,True,
step_00050,50,cf_5280,latent,23,True,
step_00050,50,cf_5280,latent,24,True,
step_00050,50,cf_5280,latent,-1,True,1.0
step_00050,50,cf_9570,latent,0,False,
step_00050,50,cf_9570,latent,1,False,
step_00050,50,cf_9570,latent,2,False,
step_00050,50,cf_9570,latent,3,False,
step_00050,50,cf_9570,latent,4,False,
step_00050,50,cf_9570,latent,5,False,
step_00050,50,cf_9570,latent,6,False,
step_00050,50,cf_9570,latent,7,False,
step_00050,50,cf_9570,latent,8,False,
step_00050,50,cf_9570,latent,9,False,
step_00050,50,cf_9570,latent,10,False,
step_00050,50,cf_9570,latent,11,False,
step_00050,50,cf_9570,latent,12,False,
step_00050,50,cf_9570,latent,13,True,
step_00050,50,cf_9570,latent,14,True,
step_00050,50,cf_9570,latent,15,True,
step_00050,50,cf_9570,latent,16,True,
step_00050,50,cf_9570,latent,17,True,
step_00050,50,cf_9570,latent,18,True,
step_00050,50,cf_9570,latent,19,True,
step_00050,50,cf_9570,latent,20,True,
step_00050,50,cf_9570,latent,21,True,
step_00050,50,cf_9570,latent,22,True,
step_00050,50,cf_9570,latent,23,True,
step_00050,50,cf_9570,latent,24,True,
step_00050,50,cf_9570,latent,-1,True,13.0
step_00050,50,cf_11786,latent,0,False,
step_00050,50,cf_11786,latent,1,False,
step_00050,50,cf_11786,latent,2,False,
step_00050,50,cf_11786,latent,3,False,
step_00050,50,cf_11786,latent,4,False,
step_00050,50,cf_11786,latent,5,False,
step_00050,50,cf_11786,latent,6,False,
step_00050,50,cf_11786,latent,7,False,
step_00050,50,cf_11786,latent,8,False,
step_00050,50,cf_11786,latent,9,False,
step_00050,50,cf_11786,latent,10,False,
step_00050,50,cf_11786,latent,11,False,
step_00050,50,cf_11786,latent,12,False,
step_00050,50,cf_11786,latent,13,False,
step_00050,50,cf_11786,latent,14,False,
step_00050,50,cf_11786,latent,15,False,
step_00050,50,cf_11786,latent,16,False,
step_00050,50,cf_11786,latent,17,False,
step_00050,50,cf_11786,latent,18,False,
step_00050,50,cf_11786,latent,19,False,
step_00050,50,cf_11786,latent,20,True,
step_00050,50,cf_11786,latent,21,True,
step_00050,50,cf_11786,latent,22,True,
step_00050,50,cf_11786,latent,23,True,
step_00050,50,cf_11786,latent,24,True,
step_00050,50,cf_11786,latent,-1,True,20.0
step_00050,50,cf_18347,latent,0,False,
step_00050,50,cf_18347,latent,1,False,
step_00050,50,cf_18347,latent,2,False,
step_00050,50,cf_18347,latent,3,False,
step_00050,50,cf_18347,latent,4,False,
step_00050,50,cf_18347,latent,5,False,
