variant,step,fact_id,condition,control,layer,flipped,logit_diff,first_flip_layer,first_positive_diff_layer
final,535,cf_15927,latent,self,3,False,2.2166900634765625,,
final,535,cf_15927,latent,self,4,False,2.2166900634765625,,
final,535,cf_15927,latent,self,5,False,2.2166900634765625,,
final,535,cf_15927,latent,self,6,False,2.2166900634765625,,
final,535,cf_15927,latent,self,7,False,2.2166900634765625,,
final,535,cf_15927,latent,self,8,False,2.2166900634765625,,
final,535,cf_15927,latent,self,9,False,2.2166900634765625,,
final,535,cf_15927,latent,self,10,False,2.2166900634765625,,
final,535,cf_15927,latent,self,11,False,2.2166900634765625,,
final,535,cf_15927,latent,self,12,False,2.2166900634765625,,
final,535,cf_15927,latent,self,13,False,2.2166900634765625,,
final,535,cf_15927,latent,self,14,False,2.2166900634765625,,
final,535,cf_15927,latent,self,15,False,2.2166900634765625,,
final,535,cf_15927,latent,self,16,False,2.2166900634765625,,
final,535,cf_15927,latent,self,17,False,2.2166900634765625,,
final,535,cf_15927,latent,self,18,False,2.2166900634765625,,
final,535,cf_15927,latent,self,19,False,2.2166900634765625,,
final,535,cf_15927,latent,self,20,False,2.2166900634765625,,
final,535,cf_15927,latent,self,21,False,2.2166900634765625,,
final,535,cf_15927,latent,self,22,False,2.2166900634765625,,
final,535,cf_15927,latent,self,23,False,2.2166900634765625,,
final,535,cf_15927,latent,self,24,False,2.227834701538086,,
final,535,cf_15927,latent,self,-1,False,,,0.0
final,535,cf_446,latent,self,0,False,4.125838279724121,,
final,535,cf_446,latent,self,1,False,4.125838279724121,,
final,535,cf_446,latent,self,2,False,4.125838279724121,,
final,535,cf_446,latent,self,3,False,4.125838279724121,,
final,535,cf_446,latent,self,4,False,4.125838279724121,,
final,535,cf_446,latent,self,5,False,4.125838279724121,,
final,535,cf_446,latent,self,6,False,4.125838279724121,,
final,535,cf_446,latent,self,7,False,4.125838279724121,,
final,535,cf_446,latent,self,8,False,4.125838279724121,,
final,535,cf_446,latent,self,9,False,4.125838279724121,,
final,535,cf_446,latent,self,10,False,4.125838279724121,,
final,535,cf_446,latent,self,11,False,4.125838279724121,,
final,535,cf_446,latent,self,12,False,4.125838279724121,,
final,535,cf_446,latent,self,13,False,4.125838279724121,,
final,535,cf_446,latent,self,14,False,4.125838279724121,,
final,535,cf_446,latent,self,15,False,4.125838279724121,,
final,535,cf_446,latent,self,16,False,4.125838279724121,,
final,535,cf_446,latent,self,17,False,4.125838279724121,,
final,535,cf_446,latent,self,18,False,4.125838279724121,,
final,535,cf_446,latent,self,19,False,4.125838279724121,,
final,535,cf_446,latent,self,20,False,4.125838279724121,,
final,535,cf_446,latent,self,21,False,4.125838279724121,,
final,535,cf_446,latent,self,22,False,4.125838279724121,,
final,535,cf_446,latent,self,23,False,4.125838279724121,,
final,535,cf_446,latent,self,24,False,4.399240493774414,,
final,535,cf_446,latent,self,-1,False,,,0.0
final,535,cf_19516,latent,self,0,False,7.845630645751953,,
final,535,cf_19516,latent,self,1,False,7.845630645751953,,
final,535,cf_19516,latent,self,2,False,7.845630645751953,,
final,535,cf_19516,latent,self,3,False,7.845630645751953,,
final,535,cf_19516,latent,self,4,False,7.845630645751953,,
final,535,cf_19516,latent,self,5,False,7.845630645751953,,
final,535,cf_19516,latent,self,6,False,7.845630645751953,,
final,535,cf_19516,latent,self,7,False,7.845630645751953,,
final,535,cf_19516,latent,self,8,False,7.845630645751953,,
final,535,cf_19516,latent,self,9,False,7.845630645751953,,
final,535,cf_19516,latent,self,10,False,7.845630645751953,,
final,535,cf_19516,latent,self,11,False,7.845630645751953,,
final,535,cf_19516,latent,self,12,False,7.845630645751953,,
final,535,cf_19516,latent,self,13,False,7.845630645751953,,
final,535,cf_19516,latent,self,14,False,7.845630645751953,,
final,535,cf_19516,latent,self,15,False,7.845630645751953,,
final,535,cf_19516,latent,self,16,False,7.845630645751953,,
final,535,cf_19516,latent,self,17,False,7.845630645751953,,
final,535,cf_19516,latent,self,18,False,7.845630645751953,,
final,535,cf_19516,latent,self,19,False,7.845630645751953,,
final,535,cf_19516,latent,self,20,False,7.845630645751953,,
final,535,cf_19516,latent,self,21,False,7.845630645751953,,
final,535,cf_19516,latent,self,22,False,7.845630645751953,,
final,535,cf_19516,latent,self,23,False,7.845630645751953,,
final,535,cf_19516,latent,self,24,False,8.41027545928955,,
final,535,cf_19516,latent,self,-1,False,,,0.0
final,535,cf_863,latent,self,0,False,3.231931686401367,,
final,535,cf_863,latent,self,1,False,3.231931686401367,,
final,535,cf_863,latent,self,2,False,3.231931686401367,,
final,535,cf_863,latent,self,3,False,3.231931686401367,,
final,535,cf_863,latent,self,4,False,3.231931686401367,,
final,535,cf_863,latent,self,5,False,3.231931686401367,,
final,535,cf_863,latent,self,6,False,3.231931686401367,,
final,535,cf_863,latent,self,7,False,3.231931686401367,,
final,535,cf_863,latent,self,8,False,3.231931686401367,,
final,535,cf_863,latent,self,9,False,3.231931686401367,,
final,535,cf_863,latent,self,10,False,3.231931686401367,,
final,535,cf_863,latent,self,11,False,3.231931686401367,,
final,535,cf_863,latent,self,12,False,3.231931686401367,,
final,535,cf_863,latent,self,13,False,3.231931686401367,,
final,535,cf_863,latent,self,14,False,3.231931686401367,,
final,535,cf_863,latent,self,15,False,3.231931686401367,,
final,535,cf_863,latent,self,16,False,3.231931686401367,,
